Aircraft Type,Aircraft Subtype,Aircraft Name,Year in Service,Country of Origin,Operator(s) if different from country of origin
Transport and Utility aircraft,Passenger and Cargo aircraft,Junkers Ju 52,1932,Germany,"Germany, Greece, Bulgaria, Norway"
Transport and Utility aircraft,Passenger and Cargo aircraft,Junkers Ju 90,1938,Germany,
Transport and Utility aircraft,Passenger and Cargo aircraft,Junkers Ju 252,1942,Germany,
Transport and Utility aircraft,Passenger and Cargo aircraft,Junkers Ju 290,1942,Germany,
Transport and Utility aircraft,Passenger and Cargo aircraft,Junkers Ju 352,1944,Germany,
Transport and Utility aircraft,Passenger and Cargo aircraft,Kawanishi H6K2-L/H6K-3/H6K4-L,1936,Japan,
Transport and Utility aircraft,Passenger and Cargo aircraft,Kawanishi H8K2-L,1941,Japan,
Transport and Utility aircraft,Passenger and Cargo aircraft,Kawasaki Ki-56 (improved Lockheed 14),1940,Japan,
Transport and Utility aircraft,Passenger and Cargo aircraft,Kokusai Ki-59,1941,Japan,
Transport and Utility aircraft,Passenger and Cargo aircraft,Lisunov Li-2 (modified licence-built DC-3),1939,USSR,
Transport and Utility aircraft,Passenger and Cargo aircraft,Lockheed Model 14 Super Electra,1937,US,"US, UK, Canada, Japan, South Africa"
Transport and Utility aircraft,Passenger and Cargo aircraft,Lockheed C-60 Lodestar,1937,US,"US, Australia, Brazil, Canada, New Zealand, South Africa, UK"
Transport and Utility aircraft,Passenger and Cargo aircraft,Lockheed C-69 Constellation,1943,US,
Transport and Utility aircraft,Passenger and Cargo aircraft,Messerschmitt Me 323,1943,Germany,
Transport and Utility aircraft,Passenger and Cargo aircraft,Mitsubishi G6M1-L2,1941,Japan,
Transport and Utility aircraft,Passenger and Cargo aircraft,Mitsubishi Ki-20,1932,"Germany, Japan",Japan
Transport and Utility aircraft,Passenger and Cargo aircraft,Mitsubishi Ki-57/L4M,1942,Japan,
Transport and Utility aircraft,Passenger and Cargo aircraft,Mitsubishi L3Y,1935,Japan,
Transport and Utility aircraft,Passenger and Cargo aircraft,Nakajima Ki-4[8],1934,Japan,"Japan, Manchukuo"
Transport and Utility aircraft,Passenger and Cargo aircraft,Nakajima Ki-34/L1N1,1936,Japan,
Transport and Utility aircraft,Passenger and Cargo aircraft,Percival Petrel,1937,UK,
Transport and Utility aircraft,Passenger and Cargo aircraft,Potez 62,1935,France,
Transport and Utility aircraft,Passenger and Cargo aircraft,Potez 650,1937,France,
Transport and Utility aircraft,Passenger and Cargo aircraft,PWS-24bis,1933,Poland,"Poland, Romania"
Transport and Utility aircraft,Passenger and Cargo aircraft,Savoia-Marchetti S.73,1934,Italy,"Italy, Belgium, UK"
Transport and Utility aircraft,Passenger and Cargo aircraft,Savoia-Marchetti S.74,1934,Italy,
Transport and Utility aircraft,Passenger and Cargo aircraft,Savoia-Marchetti SM.75,1938,Italy,"Italy, Hungary, Germany"
Transport and Utility aircraft,Passenger and Cargo aircraft,Savoia-Marchetti SM.82,1940,Italy,"Italy, Germany"
Transport and Utility aircraft,Passenger and Cargo aircraft,Savoia-Marchetti S.83,1938,Italy,"Italy, Belgium"
Transport and Utility aircraft,Passenger and Cargo aircraft,Short Stirling[7][notes 27],1943,UK,
Transport and Utility aircraft,Passenger and Cargo aircraft,Showa/Nakajima L2D (modified licence-built DC-3),1939,Japan,
Transport and Utility aircraft,Passenger and Cargo aircraft,Siebel Si 204,1942,Germany,
Transport and Utility aircraft,Passenger and Cargo aircraft,Tachikawa Ki-54,1940,Japan,
Transport and Utility aircraft,Passenger and Cargo aircraft,Tupolev ANT-9,1931,USSR,"USSR, Turkey"
Transport and Utility aircraft,Passenger and Cargo aircraft,Yokosuka L3Y,1935,Japan,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Aeronca L-3,1941,US,"US, Brazil"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Airspeed Envoy,1934,UK,"UK, Finland, South Africa"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",AVIA FL.3,1939,Italy,"Italy, Croatia, Germany"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Avro 652,1935,UK,UK
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Barkley-Grow T8P-1,1937,US,Canada
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Beechcraft 17 Staggerwing/UC-43 Traveler,1933,US,"US, Australia, Brazil, UK, New Zealand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Beechcraft Model 18/C-45/JRB/SNB/AT-7/AT-11 Expeditor[notes 28],1937,US,"US, Brazil, Canada, France, UK"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Beneš-Mráz Be-555 Super Bibi,1936,Czechoslovakia,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Bloch MB.81 ambulance aircraft,1935,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Bloch MB.120 mailplane,1935,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Breda Ba.44,1934,Italy,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",CAP CAP-4 Paulista,1935,Brazil,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Caproni Ca.164,1938,Italy,"Italy, France"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Caudron C.272,1931,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Caudron C.280/C.400/C.410,1932,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Caudron C.440 Goéland,1934,France,"France, Belgium, Germany"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Caudron C.480 Frégate,1935,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Caudron C.600 Aiglon,1935,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Caudron C.635 Simoun,1935,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Cessna 165,1935,US,"US, Australia, Finland"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",de Havilland DH.50,1923,UK,Australia
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",de Havilland Dragon,1934,UK,"UK, Iraq, New Zealand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",de Havilland Dragon Rapide/Dominie,1934,UK,"UK, Australia, Belgium, Denmark, Iraq, New Zealand, US"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",de Havilland Dragonfly,1936,UK,"UK, Australia, Denmark, Iraq"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",de Havilland Express,1934,UK,"UK, Australia, New Zealand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",de Havilland Flamingo,1939,UK,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",de Havilland Fox Moth,1932,UK,"UK, Australia, New Zealand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",de Havilland Leopard Moth,1933,UK,"UK, Australia, Belgium"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",de Havilland Moth Minor,1937,UK,"UK, Australia, New Zealand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",de Havilland Puss Moth,1930,UK,"UK, Canada, Iraq, New Zealand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Fairchild 22,1931,US,Colombia
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Fairchild 24 Argus/UC-61 Forwarder,1932,US,"US, Australia, Brazil, Canada, Thailand, UK"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Fairchild 71,1926,US,Canada
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Fairchild FC-2,1926,US,Canada
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Fairchild Super 71,1934,Canada,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Farman F.190,1928,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Farman F.402,1934,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Fieseler Fi 156 Storch,1936,Germany,"Germany, Bulgaria, Finland, Yugoslavia"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Foster Wikner Wicko,1936,UK,"UK, New Zealand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Fleet Freighter,1938,Canada,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Hanriot H.182,1934,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Harlow C-80/PJC-2,1937,US,"US, UK"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Howard UC-70/GH Nightingale,1939,US,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",IMAM Ro.63,1940,Italy,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Junkers F 13[notes 29],1920,Germany,Finland
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Junkers W 34 & K 43,1926,Germany,"Germany, Australia, Finland, Norway"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Interstate Cadet/L-6 Grasshopper,1942,US,"US, Norway"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Kokusai Ki-76,1942,Japan,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Laville PS-89,1935,USSR,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Lockheed UC-101 Vega,1928,US,"US, Australia"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Lockheed UC-85 Orion,1931,US,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Lockheed 10/C-36 Electra,1935,US,"US, Canada, UK"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Lockheed 12/UC-40 Electra Junior,1936,US,"US, Canada, Netherlands, UK"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Lublin R-XVI,1932,Poland,Poland
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Miles Falcon,1934,UK,"UK, Australia"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Miles Merlin,1935,UK,"UK, Australia"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Miles Mentor,1938,UK,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Miles Messenger,1942,UK,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Miles Monarch,1938,UK,"UK, Belgium"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Miles Whitney Straight,1936,UK,"UK, New Zealand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Mitsubishi K3M,1931,Japan,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Noorduyn Norseman,1935,Canada,"Canada, Australia, Brazil, US"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Northrop Delta[4],1933,US,"Canada, Australia"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Moskalyev SAM-5,1935,USSR,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Percival Gull,1932,UK,"UK, New Zealand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Percival Proctor,1939,UK,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Percival Vega Gull,1935,UK,"UK, Australia, Belgium, New Zealand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft","Piper J-3, L-4, O-59 and NE-1",1938,US,"US, Brazil"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Piper J-4,1938,US,"US, UK"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Porterfield 35,1935,US,"US, New Zealand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Potez 29,1927,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Potez 56,1934,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Potez 58,1934,France,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Rearwin Sportster,1935,US,"US, New Zealand, Thailand"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",SAI KZ II,1937,Denmark,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",SAIMAN 202,1939,Italy,"Italy, Croatia"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Shcherbakov Shche-2,1943,USSR,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Polikarpov U-2,1927,USSR,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Putilov Stal-3,1933,USSR,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",RWD 10,1935,Poland,Poland
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",RWD 13,1935,Poland,"Poland, Romania"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",RWD 15,1937,Poland,Romania
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Spartan UC-71 Executive,1936,US,"US, UK, Canada, China"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Stinson L-1/O-49 Vigilant,1941,US,"US, UK"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Stinson L-5 Sentinel,1942,US,"US, UK"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Stinson UC-81 Reliant,1933,US,"US, Australia, Norway, Philippines, UK"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Stinson Voyager,1939,US,"US, Canada, France"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Taylorcraft Auster,1942,UK,"UK, Australia"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Taylorcraft L-2,1941,US,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Tugan Gannet,1935,Australia,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Tupolev PS-35,1937,USSR,
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Waco UC-72 (and other Waco variants),1930s,US,"US, Australia, Brazil, New Zealand, Norway, UK"
Transport and Utility aircraft,"Communications, Liaison and Light transport aircraft",Yakovlev Yak-6,1942,USSR,
Transport and Utility aircraft,Transport gliders,Airspeed Horsa,1942,UK,"UK, US"
Transport and Utility aircraft,Transport gliders,Antonov A-7,1942,USSR,
Transport and Utility aircraft,Transport gliders,DFS 230,1938,Germany,
Transport and Utility aircraft,Transport gliders,de Havilland Australia DHA-G,1942,Australia,
Transport and Utility aircraft,Transport gliders,General Aircraft Hamilcar,1942,UK,
Transport and Utility aircraft,Transport gliders,Gotha Go 242,1941,Germany,
Transport and Utility aircraft,Transport gliders,Gribovski G-11,1941,USSR,
Transport and Utility aircraft,Transport gliders,Kokusai Ku-8,1941,Japan,
Transport and Utility aircraft,Transport gliders,Kolesnikov-Tsibin KC-20,1942,USSR,
Transport and Utility aircraft,Transport gliders,Maeda Ku-1,1941,Japan,
Transport and Utility aircraft,Transport gliders,Messerschmitt Me 321 Gigant,1941,Germany,
Transport and Utility aircraft,Transport gliders,Slingsby Hengist,1942,UK,
Transport and Utility aircraft,Transport gliders,Waco CG-3,1942,US,
Transport and Utility aircraft,Transport gliders,Waco CG-4/Hadrian,1942,US,"US, UK"
Transport and Utility aircraft,Transport gliders,Waco CG-13,1945,US,
Transport and Utility aircraft,Transport gliders,Waco CG-15,1943,US,
Trainers,Glider trainers,DFS SG 38 Schulgleiter primary training glider,1938,Germany,"Germany, Japan and many others"
Trainers,Glider trainers,General Aircraft Hotspur assault glider trainer,1940,UK,
Trainers,Glider trainers,Laister-Kauffman TG-4,1941,US,
Trainers,Glider trainers,Slingsby Kirby Cadet,1935,UK,
Trainers,Glider trainers,Schweizer TG-3,1942,US,
Trainers,Glider trainers,Schweizer TG-2/LNS-1,1938,US,
Trainers,Glider trainers,Schneider Grunau Baby,1931,Germany,"Germany, Denmark"
Trainers,Primary trainers,ANBO IV,1934,Lithuania,
Trainers,Primary trainers,Avro 504,1913,UK,"Greece, Thailand"
Trainers,Primary trainers,Avro 626,1930,UK,"UK, Belgium, Canada, Greece, New Zealand"
Trainers,Primary trainers,Avro 643 Cadet,1932,UK,"UK, Australia, China"
Trainers,Primary trainers,Avro Tutor,1933,UK,"UK, Canada, Denmark"
Trainers,Primary trainers,Beneš-Mráz Be-50 Beta-Minor,1935,Czechoslovakia,"Germany, Slovakia"
Trainers,Primary trainers,Blackburn B-2,1932,UK,
Trainers,Primary trainers,Boeing-Stearman Model 73/75/PT-13/PT-17/PT-18/NS/N2S Kaydet,1934,US,"US, Brazil, Canada, China, Philippines"
Trainers,Primary trainers,Breda Ba.25 & Ba.28,1932,Italy,"Italy, Hungary, China, Norway"
Trainers,Primary trainers,"Bücker Bü 131, Ki-86, K9W1",1935,Germany,"Germany, Bulgaria, Japan, Hungary, Romania, Yugoslavia and others"
Trainers,Primary trainers,Bücker Bü 181,1940,Germany,"Germany, Bulgaria"
Trainers,Primary trainers,CAC Wackett,1941,Australia,
Trainers,Primary trainers,Caproni Ca.164,1938,Italy,"Italy, France"
Trainers,Primary trainers,DAR 9 Siniger,1940,Bulgaria,"Bulgaria, Yugoslavia"
Trainers,Primary trainers,de Havilland DH.60 Moth,1925,UK,"UK, Australia, Denmark, Finland, Iraq, New Zealand, Norway"
Trainers,Primary trainers,de Havilland Tiger Moth[notes 30],1932,UK,"UK, Australia, Brazil, Canada, Denmark, India, Iraq, New Zealand, Norway"
Trainers,Primary trainers,Fairchild PT-19/23/26 Cornell,1940,US,"US, Brazil, Canada, Norway"
Trainers,Primary trainers,Fleet Fawn,1931,Canada,"Canada, Brazil"
Trainers,Primary trainers,Fleet 10/16/Finch,1939,Canada,"Canada, China, Brazil, Romania"
Trainers,Primary trainers,Focke-Wulf Fw 44,1932,Germany,"Germany, Brazil, Bulgaria, China, Czechoslovakia, Finland, Hungary, Poland, Romania, Slovakia"
Trainers,Primary trainers,Fokker S.IV,1924,Netherlands,
Trainers,Primary trainers,Fokker S.IX,1937,Netherlands,
Trainers,Primary trainers,Gotha Go 145,1935,Germany,
Trainers,Primary trainers,Hanriot H.43,1928,France,
Trainers,Primary trainers,Hanriot H.16,1930,France,
Trainers,Primary trainers,Heinkel He 72,1933,Germany,"Germany, Bulgaria"
Trainers,Primary trainers,Klemm Kl 25,1928,Germany,"Germany, Norway"
Trainers,Primary trainers,Koolhoven F.K.51,1935,Netherlands,
Trainers,Primary trainers,Letov Š-218,1930,Czechoslovakia,Finland
Trainers,Primary trainers,Meyers OTW CPTP trainer,1936,US,
Trainers,Primary trainers,Miles Hawk,1933,UK,"UK, New Zealand"
Trainers,Primary trainers,Miles Magister,1937,UK,"UK, Norway"
Trainers,Primary trainers,Morane-Saulnier MS.230,1930,France,"France, Germany, Greece"
Trainers,Primary trainers,Morane-Saulnier MS.315,1932,France,
Trainers,Primary trainers,Mráz Zobor I[9],1942,Slovakia,
Trainers,Primary trainers,Naval Aircraft Factory N3N Canary,1936,US,
Trainers,Primary trainers,North American NA-16,1935,US,"China, Brazil"
Trainers,Primary trainers,North American BT-9/BT-14/NJ,1936,US,
Trainers,Primary trainers,Piper J-4,1938,US,
Trainers,Primary trainers,Ryan PT-16/20/21/22 Recruit,1934,US,"US, Australia, Netherlands"
Trainers,Primary trainers,RWD 8,1934,Poland,"Poland, Latvia, Romania, Hungary, Yugoslavia"
Trainers,Primary trainers,RWD 17,1938,Poland,"Poland, Romania"
Trainers,Primary trainers,Polikarpov Po-2,1929,USSR,
Trainers,Primary trainers,Praga E-39,1931,Czechoslovakia,
Trainers,Primary trainers,PWS-16,1933,Poland,Spain
Trainers,Primary trainers,Repülőgépgyár Levente II,1943,Hungary,
Trainers,Primary trainers,SAIMAN 200,1940,Italy,"Italy, Croatia, Germany"
Trainers,Primary trainers,Spartan NP-1,1940,US,
Trainers,Primary trainers,Tachikawa Ki-9,1935,Japan,
Trainers,Primary trainers,Tachikawa Ki-17,1936,Japan,
Trainers,Primary trainers,Timm N2T Tutor,1943,US,
Trainers,Primary trainers,VL Sääski,1928,Finland,
Trainers,Primary trainers,VL Viima,1935,Finland,
Trainers,Primary trainers,Vultee BT-13/15/SNV Valiant,1939,US,"US, Brazil"
Trainers,Primary trainers,Waco UPF-7/PT-14 CPTP trainer,1930,US,
Trainers,Primary trainers,Weiss WM-10 Ölyv,1933,Hungary,
Trainers,Primary trainers,Yokosuka K5Y,1934,Japan,
Trainers,Primary trainers,Yakovlev UT-2,1937,USSR,
Trainers,Primary trainers,Zlín Z-XII,1935,Czechoslovakia,"Czechoslovakia, Germany, Slovakia, UK, Yugoslavia"
Trainers,Advanced trainers,Ambrosini S.7,1943,Italy,
Trainers,Advanced trainers,Ambrosini SAI.10 Grifone,1940,Italy,
Trainers,Advanced trainers,Arado Ar 65[8],1931,Germany,
Trainers,Advanced trainers,Arado Ar 66,1933,Germany,
Trainers,Advanced trainers,Arado Ar 68[8],1936,Germany,
Trainers,Advanced trainers,Arado Ar 96,1939,Germany,"Germany, Bulgaria, Hungary, Romania"
Trainers,Advanced trainers,Avia B.122,1934,Czechoslovakia,"Czechoslovakia, Bulgaria, Germany, Romania, Slovakia, USSR"
Trainers,Advanced trainers,Bücker Bü 133,1938,Germany,"Germany, Yugoslavia"
Trainers,Advanced trainers,CAC Wirraway,1939,Australia,
Trainers,Advanced trainers,Kaproni Bulgarski KB-2/3/4/5,1931,Bulgaria,
Trainers,Advanced trainers,Caudron C.690,1939,France,
Trainers,Advanced trainers,Curtiss-Wright CW-22/SNC Falcon,1942,US,"US, Netherlands"
Trainers,Advanced trainers,Focke-Wulf Fw 56,1935,Germany,
Trainers,Advanced trainers,Fokker D.XVII[8],1932,Netherlands,
Trainers,Advanced trainers,Hawker Hart Trainer,1930,UK,
Trainers,Advanced trainers,I.Ae. 22 DL,1944,Argentina,
Trainers,Advanced trainers,IMAM Ro.41,1935,Italy,
Trainers,Advanced trainers,Koolhoven F.K.56,1938,Netherlands,"Netherlands, Belgium"
Trainers,Advanced trainers,Messerschmitt Bf 108,1935,Germany,"Germany, Bulgaria, and many others"
Trainers,Advanced trainers,Miles Master,1939,UK,
Trainers,Advanced trainers,Mitsubishi A5M4-K[10],1936,Japan,
Trainers,Advanced trainers,Mitsubishi A6M2-K Zero[10],1940,Japan,
Trainers,Advanced trainers,Morane-Saulnier M.S.225[8],1933,France,
Trainers,Advanced trainers,Muniz M-9,1937,Brazil,
Trainers,Advanced trainers,Mansyu Ki-79,1937,Japan,
Trainers,Advanced trainers,Nardi FN.305,1938,Italy,"Italy, Romania, Hungary, France"
Trainers,Advanced trainers,Nardi FN.316,1942,Italy,"Italy, Germany"
Trainers,Advanced trainers,Nieuport-Delage NiD 62[8],1931,France,
Trainers,Advanced trainers,North American NA-16,1935,US,"France, Germany"
Trainers,Advanced trainers,North American NA-64 Yale,1940,US,"Canada, France, Germany"
Trainers,Advanced trainers,North American T-6/SNJ Texan/Harvard[4],1935,US,"US, Brazil, Canada, India, New Zealand, Norway, UK and others"
Trainers,Advanced trainers,Orlogsværftet O-Maskinen,1926,Denmark,
Trainers,Advanced trainers,Praga BH-41,1931,Czechoslovakia,
Trainers,Advanced trainers,PTO-4,1938,Estonia,"Estonia, Germany"
Trainers,Advanced trainers,PWS-26,1937,Poland,"Poland, Romania, Germany"
Trainers,Advanced trainers,Rogožarski PVT,1934,Yugoslavia,
Trainers,Advanced trainers,Rogožarski R-100,1939,Yugoslavia,
Trainers,Advanced trainers,Rogožarski SIM-Х,1937,Yugoslavia,
Trainers,Advanced trainers,Romano R.82,1937,France,
Trainers,Advanced trainers,SET 7,1931,Romania,
Trainers,Advanced trainers,Stampe et Vertongen SV.5 Tornado,1933,Belgium,"Belgium, Latvia"
Trainers,Advanced trainers,Tachikawa Ki-55,1940,Japan,"Japan, Thailand"
Trainers,Advanced trainers,Svenska Aero Jaktfalken,1930,Sweden,Finland
Trainers,Advanced trainers,THK-2,1944,Turkey,
Trainers,Advanced trainers,VEF I-12,1935,Latvia,
Trainers,Advanced trainers,VL Tuisku,1935,Finland,
Trainers,Advanced trainers,VL Pyry,1941,Finland,
Trainers,Advanced trainers,Yakovlev UT-1,1936,USSR,"USSR, China"
Trainers,Advanced trainers,Zmaj Fizir FN,1931,Yugoslavia,"Yugoslavia, Croatia, Italy"
Trainers,Advanced trainers,Zmaj Fizir FP-2,1936,Yugoslavia,"Yugoslavia, Croatia, Italy"
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Airspeed Oxford,1937,UK,"UK, Australia, Canada, New Zealand, Norway"
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Avro Anson[notes 31],1936,"UK, Canada","UK, Canada, France, US"
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Blackburn Botha bomber trainer & target tug,1939,UK,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Bristol Buckmaster,1945,UK,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Beechcraft AT-10 Wichita,1942,US,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Cessna AT-8/AT-17/UC-78/JRC Bobcat/Crane,1939,US,"US, Brazil, Canada, France"
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Consolidated AT-22/TB-24 Liberator,1943,US,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",CANT Z.1015 torpedo bomber trainer,1939,Italy,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Curtiss AT-9,1941,US,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",De Havilland Dominie radio trainer,1940,UK,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Fairchild AT-21 Gunner,1943,US,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Fairey IIIF target tug,1926,UK,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Fairey Battle bombing/gunnery trainer/target tug,1939,UK,"Australia, Canada, South Africa, UK"
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Fairey Gordon advanced trainer/target tug,1931,UK,"Australia, UK"
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Fleet Fort intermediate trainer/radio trainer,1941,Canada,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Focke-Wulf Fw 58,1937,Germany,"Germany, Brazil, Bulgaria, Croatia, Finland, Hungary, Netherlands, Romania"
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Hanriot H.232,1940,France,"France, Finland"
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Hawker Henley target tug,1938,UK,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Kyushu K10W intermediate trainer/target tug,1943,Japan,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Kyushu K11W bomber crew trainer,1943,Japan,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Lockheed AT-18 Hudson,1938,US,US
Trainers,"Bomber trainers, Target tugs and Misc. trainers",LWS-6/PZL.30 Żubr[notes 32],1938,Poland,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Martin AT-23/TB-26,1940,US,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Miles Martinet target tug,1942,UK,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Miles Mentor radio trainer,1938,UK,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Mitsubishi K7M,1931,Japan,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Nardi FN.315 intermediate trainer,1938,Italy,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",North American AT-24/TB-25 Mitchell,1941,US,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",North American NA-64 Yale intermediate/radio trainer,1940,US,Canada
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Percival Proctor radio trainer,1939,UK,
Trainers,"Bomber trainers, Target tugs and Misc. trainers",Potez 56 crew trainer/target tug,1936,France,
